,Latitude,Longitude,Magnitude,Depth(km),Region,Timestamp
1746,29.49,69.92,4.1,25,"40 Km South of Fort Monore, Near Maarri, Punjab",2021-12-27 10:15:24
1797,26.29,64.96,3.5,25,Southwestern Pakistan,2021-12-21 20:45:06
1810,30.32,67.25,3.2,29,25 KM NE of Quetta Balochistan,2021-12-19 08:10:14
1939,36.49,71.55,4.6,200,Pakistan-Afghanistan Border Region,2021-12-03 13:10:51
1996,31.33,69.45,4.2,25,"Near Zhob, Balochistan",2021-11-20 14:03:36
2169,30.04,67.51,3.3,15,"Near Harnai, Balochistan",2021-10-16 12:38:01
2175,30.03,67.54,3.1,20,"Near Harnai, Balochistan",2021-10-15 14:13:15
2177,30.05,67.8,3.3,12,"Near Harnai, Balochistan",2021-10-14 19:23:15
2206,29.85,68.64,3.2,55,"82.5 Km NE of Sibi, Balochistan",2021-10-08 16:23:06
2214,30.09,67.86,4.5,12,"Near Harnai, Balochistan",2021-10-07 00:00:55
2215,30.08,67.96,5.9,15,"Near Harnai, Balochistan",2021-10-06 22:01:09
2238,27.98,65.85,3.4,30,"65 Km West of Khuzdar, Balochistan",2021-10-03 03:27:11
2255,34.42,72.47,3.2,20,39 KM South of Mingora KPK,2021-09-30 10:46:01
2317,30.16,69.18,4.6,20,"41 Km Northwest of Barkhan, Balochistan",2021-09-17 19:12:02
2329,34.31,72.02,3.1,30,"15 km North of Mardan, KPK",2021-09-15 23:07:42
2464,30.21,69.86,4.5,10,"49 Km NE of Barkhan Balochistan, Pakistan",2021-08-28 22:36:06
2550,31.29,70.39,3.5,30,85 Km West of Zhob Balochistan,2021-08-18 15:43:18
2637,32.43,70.01,3.5,15,"40 KM NW of Tank, kpk",2021-08-11 06:58:21
2790,31.38,70.24,3.2,30,70 Km East of Zhob Balochistan,2021-07-25 05:28:20
2963,33.59,71.43,4.8,20,"Near Kohat, Pakistan",2021-06-23 01:09:19
2987,25.89,65.41,3.6,30,80 KM SE of Awaran Balochistan,2021-06-18 06:45:37
2989,34.68,72.65,4.4,20,25 km south east of Mangora KPK,2021-06-17 14:19:39
3030,32.15,69.99,4.6,40,"35 Km West of Tank, KPK",2021-06-09 11:35:28
3049,27.56,66.38,4.2,15,"30 km SW of Khuzdar, Balochistan.",2021-05-28 03:58:07
3055,29.8,66.63,4.6,51,"20 Km West of Mastung, Balochistan",2021-05-27 00:38:28
3060,29.7,66.63,4.5,46,"20 Km Southwest of Mastung, Balochistan",2021-05-25 22:12:18
3226,34.91,72.53,3.5,20,"Near Khwazakhela, KPK",2021-04-29 20:47:59
3241,29.71,67.28,4.2,25,"40 km East of Mastung, Balochistan",2021-04-28 14:43:04
3360,27.05,65.92,3.1,10,"33 Km East of Mashke, Balochistan",2021-04-12 13:54:54
3376,28.74,67.56,4.1,40,"40 Km Southwest of Bag, Balochistan",2021-04-10 21:48:47
3380,27.81,65.65,4.7,80,"85 Km West of Khuzdar(Balochistan), Pakistan",2021-04-10 15:18:16
3399,30.27,71.21,4.1,10,"65 Km Northeast of D.G Khan, pakistan",2021-04-08 12:53:36
3408,35.61,71.62,4.0,65,"30 KM south west of chitral, KPK.",2021-04-07 12:29:26
3465,28.03,64.97,4.5,96,Southwestern Pakistan,2021-03-28 12:47:23
3607,34.82,71.94,3.9,10,"37 Km West of Mingora, Pakistan",2021-03-11 14:28:39
3941,27.8,68.16,3.7,10,Shadadkot  Pakistan,2021-02-06 18:52:57
4088,35.16,73.1,3.7,38,"32 km North East of Besham, KPK",2021-01-11 08:16:46
4123,25.86,66.14,3.6,86,"40 Km Southwest of Bela, Balochistan",2021-01-03 22:31:25
4183,29.35,68.77,3.9,10,"88 Km South East of Sibi, Balochistan",2020-12-25 05:37:06
4191,30.95,66.7,3.3,35,"Near Chaman, Balochistan, PK",2020-12-23 16:09:15
4383,30.19,68.34,4.4,35,"60 km West of Quetta, Balochistan",2020-11-03 07:44:46
4491,29.56,67.52,4.3,35,"34 Km West of Sibi, Balochistan",2020-10-16 08:13:32
4498,30.64,67.94,3.3,20,Pakistan,2020-10-14 14:24:12
4571,26.16,66.42,4.3,12,"12 Km Southeast of Bela, Balochistan",2020-09-27 18:17:56
4615,29.54,67.54,4.7,18,30 Km West of Sibbi-Balochistan,2020-09-17 16:42:29
4714,33.48,72.53,4.5,24,"12 Km SW of Fateh Jang, Punjab",2020-08-28 07:58:51
4765,29.27,68.82,3.6,21,"40 Km Northwest of Dera Bugti, Balochistan",2020-08-20 10:20:16
4799,28.17,66.06,4.6,7,"60 Km Northwest of Khuzdar, Balochistan",2020-08-16 14:00:00
4813,28.98,68.25,4.1,10,70 Km Northwest of Jacobabad-pakistan,2020-08-14 08:57:36
4822,28.18,66.0,4.9,40,"68 Km Northwest of Khuzdar, Pakistan",2020-08-12 23:09:03
4823,28.11,66.01,5.4,25,"58 Km Northwest of Khuzdar, Pakistan",2020-08-12 22:40:47
4911,33.89,72.68,2.1,10,"20 Km South of Topi, KPk",2020-07-31 06:23:37
5089,26.39,67.08,3.3,115,"77 Km East of Bela, Balochistan",2020-06-26 05:42:28
5098,33.93,71.52,4.0,83,"15 Km South of Peshawar, KPK",2020-06-24 13:49:38
5130,25.01,63.29,4.7,12,Off Coast of Pakistan,2020-06-17 06:58:18
5168,27.57,70.24,3.2,22,India -Pakistan Border Region,2020-06-13 04:56:18
5171,31.91,69.76,4.0,10,"65 Km Soutwest of Tank, Pakistan",2020-06-12 11:20:30
5230,30.1,67.4,2.6,30,"40 Km Southeast of Quetta, Balochistan",2020-05-31 05:44:24
5238,24.12,66.04,4.3,107,Off Coat of Pakistan,2020-05-29 22:54:09
5451,26.92,66.19,4.1,30,"77 Km North of Bela, Balochistan",2020-04-18 03:10:39
5533,28.98,68.59,2.4,35,"78 km NE of Jacobabad, Sindh",2020-03-31 02:10:55
5660,30.39,68.1,3.8,12,"35 Km West of Loralai, Balochistan",2020-03-06 21:39:19
5665,29.29,68.4,3.9,15,"58 KM South East of Sibbi, Balochistan.",2020-03-05 16:06:05
5799,29.74,68.81,3.3,45,"91 Km Northeast of Sibi, Balochistan",2020-02-14 01:09:35
6032,26.78,64.51,3.9,35,"45 km SE of Panjgur, Balochistan",2020-01-12 02:18:28
6040,25.85,68.19,2.9,25,"23 Km Southeast of Bhag, Balochistan",2020-01-11 05:26:19
6041,28.84,68.19,3.4,30,"25 Km Southest of Bhag, Balochistan",2020-01-11 03:05:38
6102,25.34,63.15,4.7,18,"35 km Northwest of Pasni, Balochistan",2020-01-04 08:24:38
6151,30.29,67.62,3.7,10,"70 Km North of Sibbi, Balochistan",2019-12-27 11:21:41
6152,30.05,68.29,3.2,10,"65 Km North of Sibbi, Balochistan",2019-12-27 11:04:40
6153,30.16,67.96,3.8,10,"65 Km North of Sibbi, Balochistan",2019-12-27 10:40:57
6185,31.78,70.0,3.2,45,"73 Km Northeast of Zhob, Balochistan",2019-12-24 13:55:28
6234,33.56,71.46,4.2,38,"3 Km South of Kohat, KPK",2019-12-18 14:09:19
6253,34.98,72.11,3.4,75,"30 Km Northwest of Mingaora ,KPK",2019-12-15 22:59:41
6300,31.46,69.69,3.5,17,26 Km Northeast of Zhob Balochistan,2019-12-10 23:16:08
6324,26.89,67.35,4.5,16,45 km Northwest of Dadu Sindh,2019-12-07 15:32:18
6362,29.46,65.85,3.4,38,"15 km Southwest of Nushki, Balochistan",2019-12-03 11:24:49
6485,34.23,71.36,2.4,60,32 Km West of Charsadda KPK,2019-11-17 00:01:42
6495,31.27,70.64,3.4,10,"45 Km Northwest of Layyah, Punjab",2019-11-15 22:40:04
6560,27.56,68.26,3.4,16,"155 Km East of Khuzdar,Balochistan",2019-11-10 00:54:10
6574,29.75,67.67,3.1,30,"28km NW of Sibi, Balochistan",2019-11-08 07:43:30
6581,31.33,73.0,2.1,10,"40 km South of Chiniot,Punjab",2019-11-07 01:06:19
6612,31.38,69.12,3.2,18,"35 Km West of Zhob,Balochistan",2019-11-02 08:52:05
6634,23.54,66.01,3.7,70,Off Coast of Pakistan,2019-10-30 15:35:37
6659,32.21,71.41,3.7,25,"40 Km South of Mianwali,(Near Piplan), Punjab",2019-10-27 20:47:28
6662,28.87,66.57,2.9,40,"Near Kalat, Balochistan",2019-10-27 16:20:06
6673,33.03,70.4,2.9,20,"20 Km West of Bannu,KPK",2019-10-26 06:26:33
6707,30.39,67.09,2.5,40,"20 Km Northeast of Quetta, Balochistan",2019-10-21 15:49:52
6798,27.92,65.32,3.5,10,70 km South of Kharan Balochistan,2019-10-07 06:04:19
6823,31.32,69.05,3.1,10,37 Km West Of Zhob Balochistan,2019-10-03 19:45:39
6836,25.99,66.62,3.8,12,"20 Km North of Uthal, Balochistan",2019-10-01 19:37:46
6901,32.98,73.71,3.4,10,"6 KM North Of Jhelum, Punjab",2019-09-24 11:49:10
6902,32.99,73.73,5.8,10,"5 KM North of Jhelum, Punjab.",2019-09-24 11:01:53
6922,29.04,65.57,2.2,30,"50 Km North of kharan, Balochistan",2019-09-20 22:34:23
6933,26.95,67.34,3.6,30,45 km NW of Dadu near Sindh-Balochistan Border,2019-09-19 09:22:12
6943,26.89,66.05,3.6,22,"77 km NW of Bela, Balochistan",2019-09-18 06:21:05
6944,25.96,67.01,3.7,30,"40 km NE of Uthal, Balochistan.",2019-09-18 04:56:42
6945,28.45,65.77,2.4,10,"35 km SE of Kharan, Balochistan",2019-09-17 21:48:49
7031,29.54,68.95,2.7,17,108 Km East of Sibi Balochistan,2019-09-05 01:17:31
7045,29.7,65.76,3.0,15,111km NW of Kalat Balochistan.,2019-09-03 07:33:11
7048,29.82,68.0,3.2,15,"30 Km NE of Sibi, Balochistan",2019-09-02 21:56:53
7105,26.5,66.09,3.7,30,"30 Km Northwest of Bela, Balochistan",2019-08-23 19:01:24
7130,26.48,68.31,3.9,40,"26 Km Northwest of Nawabshah (near Daur), Sindh",2019-08-19 13:02:57
7132,26.86,67.79,3.4,12,"11 km North of Dadu, Sindh.",2019-08-19 09:13:40
7172,25.26,67.76,4.1,40,"52 Km West of Kotri, Sindh",2019-08-12 13:36:54
7214,27.56,66.99,3.5,35,"55 km SE of Khuzdar, Balochistan.",2019-08-07 07:34:59
7249,30.28,66.18,2.5,12,"67 Km West of Quetta, Balochistan",2019-08-02 06:18:40
7296,29.74,69.08,3.0,40,"22 Km South West of Kohlu, Balochistan",2019-07-27 03:58:18
7304,33.91,71.8,3.4,10,"13 Km NW of Cherat, KPK",2019-07-26 16:54:45
7307,29.81,65.82,2.2,30,"33 Km Northwest of Nushki, Balochistan.",2019-07-26 01:21:14
7308,29.74,66.26,1.7,10,31 Km North of Nushki Balochistan.,2019-07-26 00:36:26
7309,34.77,72.26,4.3,40,"Near Swat, KPK.",2019-07-25 23:00:45
7312,34.59,72.19,3.6,30,"Near Swat, KPK.",2019-07-25 16:11:29
7315,29.52,66.09,2.6,35,"70Km Northhwest of Kalat, Balochistan",2019-07-25 06:25:40
7345,35.15,73.07,4.0,75,"95 Km North of Abottabad, KPK",2019-07-20 04:37:30
7425,29.34,67.21,3.0,15,"65 KM Southwest of Sibi, Balochistan.",2019-07-10 05:48:38
7435,34.89,72.9,3.6,12,"3 Km South of Besham, KPK",2019-07-08 11:38:02
7444,34.88,73.4,2.4,30,"15 Km Northwest of Kaghan, KPK",2019-07-08 00:53:15
7455,32.16,71.83,3.4,10,50 Km Southwest of Khushab Punjab,2019-07-06 14:13:24
7487,33.07,72.7,2.9,10,"32 Km NE of Talagang, Punjab",2019-07-03 19:28:36
7583,29.68,68.41,3.2,19,55 Km NE of Sibi Balochistan,2019-06-22 11:24:18
7671,34.68,72.93,5.0,18,20 Km West Of Batgram kpk.,2019-06-12 03:10:26
7689,32.89,71.12,3.8,20,"37 Km North of Lakki Marwat, KPK",2019-06-09 02:37:00
7701,32.29,69.97,4.3,300,95 Km North Of Zhob Balochistan,2019-06-08 01:07:21
7712,28.08,67.11,3.3,10,"60 Km NE of Khuzdar, Balochistan",2019-06-05 07:25:06
7713,27.77,65.9,4.6,10,"70 Km West of Khuzdar, Balochistan",2019-06-05 06:37:53
7717,28.91,65.35,3.0,40,"40 Km North Of kharan, Balochistan",2019-06-04 19:23:01
7734,28.62,65.52,2.3,10,10 Km Northeast of Kharan Balochistan,2019-06-02 05:08:25
7880,30.21,69.91,4.0,40,"50 Km Northeast of Barkhan, Balochistan",2019-05-13 19:52:01
7885,30.49,68.39,3.3,25,"25 Km Northwest of Loralai, Balochistan",2019-05-13 11:32:25
7907,34.48,73.0,3.8,21,"22 km NW of Mansehra, KPK.",2019-05-10 06:21:17
8012,27.88,65.81,3.4,18,75 Km West of Khuzdar Balochistan,2019-04-23 13:47:59
8022,26.62,67.99,3.0,25,25 Km Southeast of Dadu Sindh,2019-04-22 16:53:59
8056,31.11,70.13,3.6,12,65 Km  Southeast of zhob Balochistan,2019-04-19 11:20:00
8093,31.03,68.41,3.5,15,"35 Km North of Qila Saifullah, Balochistan",2019-04-15 15:57:13
8279,32.31,70.12,4.1,20,45 KM NW Of Tank KPK.,2019-03-27 17:14:03
8382,34.57,73.1,3.4,15,26 Km NW of Mansehra KPK,2019-03-13 23:43:38
8421,33.91,72.75,1.9,15,24 Km east of Hazro KPK,2019-03-10 10:20:17
8434,29.01,67.55,2.4,10,60 Km SW of Sibi Balochistan,2019-03-09 12:15:26
8450,28.93,68.96,4.2,10,"Near Dera Bugti, Pakistan",2019-03-07 06:44:24
8481,31.02,66.97,3.0,16,"50 Km North East of Chaman, Balochistan",2019-03-04 02:02:07
8485,30.38,67.99,3.5,15,58 Km West of Loralai Balochistan,2019-03-03 13:09:20
8486,28.5,65.14,2.5,10,28 Km SW of Kharan Balochistan,2019-03-03 12:43:08
8489,29.09,68.1,4.1,15,55 Km SE of Sibi Balochistan,2019-03-03 06:33:29
8523,28.07,69.68,3.1,15,"15 Km NE of Mirpur Mathelo, Sindh",2019-02-26 02:47:54
8525,27.86,70.05,3.1,10,"57 Km SE of Mirpur Mathelo, Sindh",2019-02-25 21:53:01
8526,28.22,69.47,3.4,15,"25 Km SW of Kashmor, Sindh",2019-02-25 21:12:48
8527,28.91,67.22,3.0,20,"90 Km SW of Sibi, Balochistan",2019-02-25 20:02:26
8532,28.16,69.48,3.4,15,15 KM Northwest of Mirpur Mathelo sindh.,2019-02-25 14:37:55
8533,27.7,69.79,3.9,25,"40 Km Southeast of Mirpur Mathelo, Sindh",2019-02-25 11:58:41
8534,28.48,68.47,3.4,18,"23 KM North of Jacobabad, Sindh",2019-02-25 11:25:25
8535,28.52,68.45,3.5,21,"25 KM North of Jacobabad, Sindh",2019-02-25 09:50:45
8536,28.51,68.47,4.1,18,"20 KM North of Jacobabad, Sindh",2019-02-25 09:00:45
8539,26.92,69.55,3.0,23,100 Km South East of Khairpur Sindh,2019-02-25 00:08:27
8558,33.32,70.45,3.8,30,"15 km North of Spin Wam and 35 km NW of Bannu, KPK",2019-02-21 10:59:59
8614,27.75,67.92,3.0,14,"35 Km NW of Larkana, Sindh",2019-02-15 12:24:34
8615,26.93,67.54,3.5,12,"Near Dadu,  Sindh",2019-02-15 09:51:40
8659,35.12,73.59,3.9,15,"25 Km North of Naran, KPK",2019-02-08 22:18:25
8676,32.33,73.12,3.0,10,"25 Km South of Mianwali, Punjab",2019-02-06 19:49:07
8690,35.91,72.89,3.5,50,130 Km North of Mingora pakistan,2019-02-05 14:04:25
8694,29.0,72.07,4.4,40,India-Pakistan Border Region.,2019-02-05 10:06:55
8713,33.79,70.36,2.8,80,"70 Km NW of Hangu, Pakistan",2019-02-04 00:29:23
8732,30.53,68.09,3.5,70,"50 Km NE of Loralai, Balochistan",2019-02-01 15:31:06
8805,30.09,70.11,3.0,10,"50 Km West of D.G.Khan, Balochistan.",2019-01-24 16:45:48
8810,31.62,72.05,4.0,20,40 Km Northwest OF jhang Punjab,2019-01-24 07:12:51
8857,34.48,72.94,3.3,26,"30 Km North West of Mansehra, KPK.",2019-01-19 05:26:48
8886,28.47,65.44,3.0,25,"10 Km South of Kharan, Balochistan",2019-01-16 20:12:09
8887,27.72,66.6,2.8,15,"Near Khuzdar, Balochistan",2019-01-16 17:07:42
8922,30.53,74.18,3.9,70,India-Pakistan Border Region.,2019-01-12 19:07:45
8946,28.82,66.51,2.5,15,"50 Km Southwest of Kalat, Balochistan",2019-01-09 23:14:12
8947,28.75,66.51,3.8,19,"30 km south of Kalat, Balochistan",2019-01-09 20:07:16
9102,32.76,72.67,3.9,10,25 Km Southwaest of Chakwal Pakistan,2018-12-21 09:11:37
9108,29.56,66.02,3.0,10,"Near Noshki, Balochistan",2018-12-20 18:35:32
9154,28.55,64.69,3.3,10,"70 Km Soutwest of Kharan, Balochistan",2018-12-13 22:17:32
9177,32.57,69.79,4.1,40,"68 km NW of Tank, KPK",2018-12-11 04:07:48
9211,26.5,65.94,3.8,10,45 Km Northwest of Bela Balochistan,2018-12-06 22:41:54
9250,23.69,64.15,4.5,50,Off Coast of Pakistan (revised),2018-12-05 04:10:33
9348,33.28,71.01,3.1,10,"29 Km South of Hangu, KPK",2018-11-20 22:21:00
9353,32.6,74.0,4.4,6,"05 Km Northwest of Gujrat, Punjab. (revised)",2018-11-19 11:23:52
9369,30.39,72.25,3.4,15,"Near Mian Channu, Punjab",2018-11-17 01:10:35
9394,26.91,65.07,3.4,10,"90 Km Northwest of Panjgur, Balochistan",2018-11-14 16:34:47
9400,26.69,66.58,3.6,10,123 KM West Of Daddu Pakistan,2018-11-13 00:07:10
9425,32.29,70.27,3.3,20,"15 Km Northwest of Tank, KPK",2018-11-10 01:21:21
9426,32.48,69.68,3.9,25,"22 Km North of WANA, KPK",2018-11-09 22:15:45
9486,31.86,72.3,3.5,18,"33 Km South west of Sargodha, Punjab",2018-11-01 04:09:04
9703,25.48,67.21,4.5,12,"Near Kirthar National Park, Sindh-Baluchistan Brdr",2018-10-03 17:39:33
9833,29.64,69.45,3.3,15,30 KM South Of Barkhan Balochistan,2018-09-16 06:03:21
10097,28.78,67.13,3.2,41,"111 km Southwest of Sibi, Balochistan",2018-08-10 20:29:14
10147,34.58,72.76,3.5,15,"40 Km NE of Mingaora, KPK",2018-08-01 23:07:56
10171,32.29,70.42,3.7,15,"56km NW of D.I. Khan, KPK",2018-07-27 08:12:37
10213,32.6,71.17,4.0,180,"25 Km East of Lakki Marwat, Pakistan",2018-04-23 00:18:47
10217,29.46,65.5,3.9,30,50 Km East of Balochistan,2018-07-19 19:33:00
10306,25.83,66.62,2.9,30,"Near Uthal, Balochistan",2018-07-01 04:43:05
10410,32.71,72.37,3.4,15,"Near Khushab, Punjab",2018-06-07 07:56:47
10528,30.8,68.04,2.9,15,"100km NE of Quetta, Balochistan.",2018-05-13 13:04:13
10551,33.17,70.48,5.5,12,"20 Km NNW of Bannu, Pakistan",2018-05-09 03:23:26
10555,34.32,73.12,2.7,15,"10 Km South West of Mansehra, KPK",2018-05-08 15:10:49
10568,29.73,67.31,3.0,15,"45km East of Mastung, Balochistan.",2018-05-06 09:43:20
10601,30.84,69.19,3.5,18,"58Km SW of Zhob, Balochistan",2018-04-29 12:08:44
10633,28.18,67.38,3.5,25,"110Km North West of Larkana, Sindh",2018-04-22 12:09:42
10634,28.15,67.24,3.5,20,"115 Km North West of Larkana, Sindh",2018-04-22 10:37:55
10635,28.07,67.35,3.1,21,"100 Km North West of Larkana, Sindh",2018-04-22 09:01:45
10636,27.36,67.55,3.6,15,"70Km North West of Dadu, Sindh",2018-04-22 07:42:21
10710,33.71,73.26,3.7,15,20 KM East of Islamabad,2018-04-10 11:47:09
10811,27.11,65.8,4.5,12,"95 km SW of Khuzdar, Balochistan.",2018-03-20 17:03:59
10855,30.23,67.01,2.5,10,"Near quetta, Balochistan",2018-03-09 15:21:10
10955,28.18,67.63,3.0,16,"40 Km west of Osta Muhammad, Sindh Balochistan Bor",2018-02-23 11:05:00
10956,28.05,67.57,4.2,56,Baluchistan-Sindh Border Area,2018-02-23 08:49:09
10978,31.91,68.58,3.4,15,"Near Zhob, Balochistan",2018-02-19 03:01:08
11035,32.8,73.0,3.7,18,"20 Km South East of Chakwal, Pakistan.",2018-02-01 12:47:53
11176,35.07,73.09,3.0,20,"25 Km North of Allai, KPK",2017-12-29 19:59:26
11236,35.93,72.19,3.5,35,"38 Km East of Chitral, KPK",2017-12-18 03:59:02
11280,26.8,67.91,2.0,20,"Near Dadu, Sindh",2017-12-08 19:38:07
11326,34.34,73.56,3.1,10,"Near Mansehra, Pakistan",2017-11-06 03:55:44
11327,31.49,72.35,3.8,13,"Near Jhang, Pakistan",2017-11-25 17:36:23
11328,29.94,70.32,3.5,15,"35km SW of Dera Ghazi Khan, Pakistan",2017-11-28 21:34:08
11467,26.77,65.4,4.2,30,"150 Km Southwest of Khuzdar, Balochistan",2017-10-23 10:27:12
11492,35.12,72.11,3.5,15,"23 Km East of Dir ,KP, Pakistan",2017-10-12 01:25:17
11497,35.15,72.21,3.8,24,"25 KM East of Dir ,KPK Pakistan",2017-10-11 09:23:13
11548,25.28,63.4,3.8,20,"Near Pasni, Balochistan",2017-09-23 15:55:00
11554,35.5,72.94,4.5,63,"32 km East of Kalam, KPK",2017-09-23 00:14:29
11555,34.71,72.41,3.3,18,"Near Mingora, KPK",2017-09-22 10:36:03
11577,33.54,72.9,2.5,15,"23km East of Fateh Jang, Punjab, Pakistan",2017-09-15 03:23:10
11611,33.03,70.13,2.8,60,"40 Km West of Bannu, Pakistan",2017-09-02 09:09:48
11613,35.27,71.78,2.0,60,"72 Km NW of Mingora, Pakistan",2017-09-02 04:03:00
11640,35.2,75.23,4.7,15,"37 km SW of Skardu, Gilgit-Baltistan, Pakistan",2017-08-23 20:58:42
11659,29.01,66.79,3.9,25,"30km East of Kalat, Balochistan",2017-08-13 08:36:04
11738,31.95,72.45,3.2,25,"Near Chiniot, Punjab",2017-07-24 10:23:43
11747,28.8,66.32,4.4,11,"33km SW of Kalat, Balochistan",2017-07-23 05:01:45
11809,27.66,64.6,4.2,15,"90km NE of Panjgor, Baluchistan, Pakistan",2017-07-09 11:35:26
11874,34.95,72.95,3.5,24,"Near Mingaora, Swat, KPK",2017-06-20 05:38:40
11897,34.66,72.4,2.9,12,"Near Mingora, KPK",2017-06-14 15:31:27
11898,34.49,72.49,3.2,25,"Near Mingora, KPK",2017-06-14 09:54:43
11899,34.53,72.43,4.4,15,"Near Mingora, KPK",2017-06-14 09:06:12
11913,34.83,72.04,3.2,35,26 Km West of Mingora KPK,2017-06-12 07:34:00
12077,31.2,74.26,2.9,39,"40 Km South of Lahore, Pakistan",2017-05-09 10:34:01
12111,34.59,73.21,2.5,17,"30Km North of Mansehra, Pakistan",2017-05-02 10:30:31
12139,34.99,72.69,2.5,15,"35km NE of Mingora, KPK",2017-04-28 07:27:15
12150,35.07,72.27,2.9,11,32 Km NW of Mingora KPK.,2017-04-26 06:24:09
12166,28.84,67.22,4.3,171,"67 Km SE of Kalat, Pakistan",2017-04-22 19:37:27
12284,26.05,67.27,3.5,19,"Kirthar Ranges, Near Baluchistan-Sindh Border Area",2017-03-27 10:12:04
12306,33.52,72.26,2.4,16,"Near Attock, Punjab",2017-03-24 03:32:27
12309,36.42,71.72,3.7,95,"44Km North of Chitral, Pakistan",2017-03-23 23:19:09
12312,36.37,71.06,3.4,55,"40Km North of Chitral, Pakistan",2017-03-23 16:41:08
12323,33.89,72.54,4.0,12,"Near Hazro, Punjab",2017-03-21 05:56:38
12326,33.97,72.65,2.6,15,"23km West of Haripur, KPK",2017-03-20 07:51:56
12336,25.92,68.45,4.5,18,"20km NE of Tando Adam, Sindh",2017-03-18 06:45:02
12363,32.46,71.91,2.9,17,"38Km Southeast of Mianwali, Punjab, Pakistan",2017-03-12 21:02:13
12368,31.06,70.18,3.6,22,"73 km NW of Layyah, Pakistan",2017-03-11 17:57:09
12369,31.1,70.3,2.5,23,"63 km NW of Layyah, Pakistan",2017-03-11 16:58:16
12377,29.78,68.01,3.5,15,"Near Sibi, Baluchistan, Pakistan",2017-03-10 09:26:34
12385,31.6,70.05,3.6,39,"64 km NE of Zhob, Pakistan",2017-03-07 17:03:47
12387,27.68,70.74,3.4,10,91 Km SE of R.Y. Khan (Pakistan-India border Reg.),2017-03-07 16:00:00
